Title ID,Title Type,Title Name,Collection,Collection 2,Collection 3,Series
T95,short story,The Face of Helen,The Mysterious Mr. Quin,,,Harley Quin
T77,short story,The Gypsy (The Gipsy),The Hound of Death and Other Stories,The Golden Ball and Other Stories,The Last Seance: Tales of the Supernatural,
T221,short story,The Harlequin Tea Set,Problem at Pollensa Bay and Other Stories,The Harlequin Tea Set and Other Stories,,Harley Quin
T182,short story,Accident,The Listerdale Mystery (short story collection),The Witness for the Prosecution and Other Stories,,
T63,short story,The House of Lurking Death,Partners in Crime,,,Tommy & Tuppence
T06,short story,The Cretan Bull,The Labours of Hercules (The Labors of Hercules),,,Hercule Poirot
T12,short story,The Thumb Mark of Saint Peter,The Thirteen Problems,,,Hercule Poirot
T37,short story,The Blue Geranium,The Thirteen Problems,The Last Seance: Tales of the Supernatural,,Miss Marple
T82,short story,The Strange Case of Sir Arthur Carmichael,The Hound of Death and Other Stories,The Golden Ball and Other Stories,The Last Seance: Tales of the Supernatural,
T13,short story,The Herb of Death,The Thirteen Problems,,,Miss Marple
T41,short story,The Adventure of the Egyptian Tomb,Poirot Investigates,The Last Seance: Tales of the Supernatural,,Hercule Poirot
T88,short story,The Coming of Mr. Quin,The Mysterious Mr. Quin,,,Harley Quin
T157,short story,The Affair at the Victory Ball,The Under Dog and Other Stories,,,Hercule Poirot
T180,short story,Philomel Cottage,The Listerdale Mystery (short story collection),The Witness for the Prosecution and Other Stories,The Last Seance: Tales of the Supernatural,
T47,short story,The Chocolate Box,Poirot's Early Cases (Hercule Poirot's Early Cases),,,Hercule Poirot
T203,short story,The Case of the Caretaker,Three Blind Mice and Other Stories,Miss Marple: The Complete Short Stories,,Miss Marple
T176,short story,Triangle at Rhodes,Murder in the Mews (collection),,,Hercule Poirot
T200,short story,A Case of Buried Treasure,Miss Marple's Final Cases,Three Blind Mice and Other Stories,,
T30,short story,A Christmas Tragedy,The Thirteen Problems,,,Miss Marple
T54,short story,A Fairy in the Flat,Partners in Crime,,,Tommy & Tuppence
T151,short story,A Fruitful Sunday,The Listerdale Mystery (short story collection),The Golden Ball and Other Stories,,
T300,short story,A Pot of Tea,Partners in Crime,,,Tommy & Tuppence
T90,short story,"At the ""Bells and Motley""",The Mysterious Mr. Quin,,,Harley Quin
T59,short story,Blindman's Buff,Partners in Crime,,,Tommy & Tuppence
T175,short story,Dead Man's Mirror,Murder in the Mews (collection),,,Hercule Poirot
T29,short story,Death by Drowning,The Thirteen Problems,,,Miss Marple
T194,short story,Death on the Nile (Parker Pyne short story),"Parker Pyne Investigates (Mr. Parker Pyne, Detective)",,,Parker Pyne
T169,short story,Double Sin,Poirot's Early Cases (Hercule Poirot's Early Cases),Double Sin and Other Stories,,Hercule Poirot
T306,short story,Finessing the King,Partners in Crime,,,Tommy & Tuppence
T206,short story,Four and Twenty Blackbirds,The Adventure of the Christmas Pudding and a Selection of Entrées,Three Blind Mice and Other Stories,,Hercule Poirot
T304,short story,Greenshaw's Folly,The Adventure of the Christmas Pudding and a Selection of Entrées,Double Sin and Other Stories,Miss Marple's Final Cases,Miss Marple
T99,short story,Harlequin's Lane,The Mysterious Mr. Quin,,,Harley Quin
T57,short story,Have You Got Everything You Want?,Parker Pyne Investigates,,,Parker Pyne
T195,short story,How Does Your Garden Grow?,Poirot's Early Cases (Hercule Poirot's Early Cases),The Regatta Mystery and Other Stories,,Hercule Poirot
T106,short story,In a Glass Darkly,The Regatta Mystery and Other Stories,Miss Marple's Final Cases,The Last Seance: Tales of the Supernatural,
T33,short story,Ingots of Gold,The Thirteen Problems,,,Miss Marple
T150,short story,Jane in Search of a Job,The Listerdale Mystery (short story collection),The Golden Ball and Other Stories,,
T313,short story,Magnolia Blossom,Problem at Pollensa Bay and Other Stories,,,
T55,short story,Manx Gold,The Harlequin Tea Set and Other Stories,While the Light Lasts and Other Stories,,
T105,short story,Miss Marple Tells a Story,The Regatta Mystery and Other Stories,Miss Marple's Final Cases,,Miss Marple
T35,short story,Motive v. Opportunity,The Thirteen Problems,,,Miss Marple
T183,short story,Mr. Eastwood's Adventure (The Mystery of the Spanish Shawl),The Listerdale Mystery (short story collection),The Witness for the Prosecution and Other Stories,,
T116,short story,Murder in the Mews (novella),Murder in the Mews (collection),,,Hercule Poirot
T61,short story,Next to a Dog,Problem at Pollensa Bay and Other Stories,The Golden Ball and Other Stories,,
T124,short story,Problem at Pollensa Bay,The Regatta Mystery and Other Stories,Problem at Pollensa Bay and Other Stories,Parker Pyne Investigates,Parker Pyne
T164,short story,Problem at Sea,The Regatta Mystery and Other Stories,Poirot's Early Cases (Hercule Poirot's Early Cases),,Hercule Poirot
T85,short story,S.O.S.,The Hound of Death and Other Stories,The Witness for the Prosecution and Other Stories,The Last Seance: Tales of the Supernatural,
T115,short story,Sanctuary,Double Sin and Other Stories,Miss Marple's Final Cases,,Miss Marple
T181,short story,Sing a Song of Sixpence,The Listerdale Mystery (short story collection),The Witness for the Prosecution and Other Stories,,
T65,short story,Strange Jest,Three Blind Mice and Other Stories,Miss Marple's Final Cases,,Miss Marple
T154,short story,Swan Song,The Listerdale Mystery (short story collection),The Golden Ball and Other Stories,,
T202,short story,Tape-Measure Murder,Three Blind Mice and Other Stories,Miss Marple's Final Cases,,Miss Marple
T66,short story,The Actress,The Harlequin Tea Set and Other Stories,While the Light Lasts and Other Stories,,
T168,short story,The Adventure of Johnnie Waverly,Poirot's Early Cases (Hercule Poirot's Early Cases),Three Blind Mice and Other Stories,,Hercule Poirot
T43,short story,The Adventure of the Cheap Flat,Poirot Investigates,,,Hercule Poirot
T234,short story,The Adventure of the Christmas Pudding (The Theft of the Royal Ruby),The Adventure of the Christmas Pudding and a Selection of Entrées,Double Sin and Other Stories,,Hercule Poirot
T163,short story,The Adventure of the Clapham Cook,The Under Dog and Other Stories,Poirot's Early Cases (Hercule Poirot's Early Cases),,Hercule Poirot
T26,short story,The Adventure of the Italian Nobleman,Poirot Investigates,,,Hercule Poirot
T56,short story,The Adventure of the Sinister Stranger,Partners in Crime,,,Tommy & Tuppence
