Title ID,Title Type,Title Name,Year of first publication
T186,novel,4.50 From Paddington (What Mrs. McGillicuddy Saw!),1957
T100,novel,A Caribbean Mystery,1964
T223,novel,A Daughter's a Daughter (novel),1952
T189,novel,A Murder is Announced,1950
T213,novel,A Pocket Full of Rye,1953
T224,novel,Absent in the Spring,1944
T09,novel,After the Funeral (Funerals are Fatal),1953
T129,novel,And Then There Were None,1939
T131,novel,Appointment with Death,1938
T128,novel,At Bertram's Hotel,1965
T217,novel,By the Pricking of My Thumbs,1968
T135,novel,Cards on the Table,1936
T229,novel,Cat Among the Pigeons,1959
T177,novel,Crooked House,1949
T178,novel,Curtain: Poirot's Last Case,1976
T230,novel,Dead Man's Folly,1956
T198,novel,Death Comes as the End,1944
T132,novel,Death in the Clouds (Death in the Air),1935
T137,novel,Death on the Nile (novel),1937
T214,novel,Destination Unknown (So Many Steps to Death),1954
T136,novel,Dumb Witness (Poirot Loses a Client),1937
T231,novel,Elephants Can Remember,1972
T216,novel,Endless Night,1967
T142,novel,Evil Under the Sun,1941
T143,novel,Five Little Pigs (Murder in Retrospect),1942
T70,novel,Giant's Bread,1930
T232,novel,Hallowe'en Party,1969
T235,novel,Hercule Poirot and the Greenshore Folly,2014
T138,novel,"Hercule Poirot's Christmas (Murder for Christmas, A Holiday for Murder)",1938
T215,novel,Hickory Dickory Dock (Hickory Dickory Death),1955
T73,novel,Lord Edgware Dies,1933
T212,novel,Mrs. McGinty's Dead (Blood Will Tell),1952
T134,novel,Murder in Mesopotamia ,1936
T08,novel,Murder is Easy (Easy to Kill),1939
T87,novel,Murder on the Orient Express,1934
T140,novel,"One, Two, Buckle My Shoe (The Patriotic Murders, An Overdose of Death)",1940
T179,novel,Ordeal by Innocence,1958
T236,novel,Passenger to Frankfurt,1970
T72,novel,Peril at End House,1932
T123,novel,Postern of Fate,1973
T141,novel,Sad Cypress,1940
T120,novel,Sleeping Murder,1976
T01,novel,Sparkling Cyanide (Remembered Death),1945
T145,novel,Taken at the Flood (There is a Tide...),1948
T133,novel,The ABC Murders,1936
T04,novel,The Big Four,1927
T196,novel,The Body in the Library,1942
T228,novel,The Burden,1956
T110,novel,The Clocks,1963
T144,novel,The Hollow (Murder After Hours),1946
T174,novel,The Incredible Theft,1937
T15,novel,The Man in the Brown Suit,1924
T188,novel,The Mirror Crack’d from Side to Side (The Mirror Crack'd),1962
T197,novel,The Moving Finger,1942
T69,novel,The Murder at the Vicarage,1930
T51,novel,The Murder of Roger Ackroyd,1926
T14,novel,The Murder on the Links,1923
T02,novel,The Mysterious Affair at Styles,1920
T36,novel,The Mystery of the Blue Train,1928
T03,novel,The Pale Horse,1961
T226,novel,The Rose and the Yew Tree,1948
T07,novel,The Secret Adversary,1922
T50,novel,The Secret of Chimneys,1925
T52,novel,The Seven Dials Mystery,1929
T71,novel,The Sittaford Mystery,1931
T208,novel,They Came to Baghdad,1951
T185,novel,They Do It With Mirrors (Murder with Mirrors),1952
T111,novel,Third Girl,1966
T10,novel,Three Act Tragedy (Murder in Three Acts),1934
T139,novel,Towards Zero,1944
T225,novel,Unfinished Portrait,1934
T190,novel,Why Didn't They Ask Evans? (The Boomerang Clue),1934
T127,novel,Black Coffee (play),1930
T31,novel ,N or M? ,1941
T107,novel ,Nemesis,1971
T200,short story,A Case of Buried Treasure,
T30,short story,A Christmas Tragedy,
T54,short story,A Fairy in the Flat,
T151,short story,A Fruitful Sunday,
T300,short story,A Pot of Tea,
T182,short story,Accident,
T90,short story,"At the ""Bells and Motley""",
T59,short story,Blindman's Buff,
T175,short story,Dead Man's Mirror,
T29,short story,Death by Drowning,
T194,short story,Death on the Nile (Parker Pyne short story),
T169,short story,Double Sin,
T306,short story,Finessing the King,
T206,short story,Four and Twenty Blackbirds,
T304,short story,Greenshaw's Folly,
T99,short story,Harlequin's Lane,
T57,short story,Have You Got Everything You Want?,
T195,short story,How Does Your Garden Grow?,
T106,short story,In a Glass Darkly,
T33,short story,Ingots of Gold,
